,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
2153,azure-powershellWebScrap,832,support medialink set azureplatformextens current set azureplatformextens doesnt take medialink publish new version vm extens new bit tfsbridg tfsid,,singhkays,compute| service attention,1/9/2015
1269,azure-powershellWebScrap,1384,azurerm cmdlet return object json like format run exampl get azurermvm follow return imag reason azur team decid go json like view return object make incred hard read output json simpli bad choic consum human implement proper output object use powershel format file format ps xml tfsbridg tfsid,,singhkays,compute| network| service attention,1/12/2015
1272,azure-powershellWebScrap,1394,new azurermresourcegroupdeploy enough free thread threadpool complet oper got issu mani time deploy templat new azurermresourcegroupdeploy enough free thread threadpool complet oper line char new azurermresourcegroupdeploy resourcegroupnam geoexperi categoryinfo notspecifi new azurermresourcegroupdeploy invalidoperationexcept fullyqualifiederrorid system invalidoperationexceptionmicrosoft azur command resourc newazureresourcegroupdeploymentcommandit seem client side issu deploy kept go even powershel consol stop error messag tfsbridg tfsid,,ravbhatnagar,arm| service attention,2/12/2015
1436,azure-powershellWebScrap,566,azurevirtualnetworkgateway azurevnetgateway cmdlet someon explain azurevirtualnetworkgateway azurevnetgateway cmdlet tfsbridg tfsid,<bm>parse|template|and|extract|parametersruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parameter|predefinedtypestringruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parameter|predefinedtypestringruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parameter|predefinedtypestringruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parameter|predefinedtypestringruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parameter|arraytype|predefinedtypestringruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parametertemplate|contentruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parametertemplate|contentruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parameter|identifiernamehashtableruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parameter|identifiernamehashtableruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parametertemplate|parameter|objectruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parametertemplate|parameter|objectruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parametertemplate|parameter|file|pathruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parametertemplate|parameter|file|pathruntime|defined|parameter|dictionaryidentifiername|methoddeclaration|parameterlist|parameterstatic|parametersruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclaration|parameterlist|parameterstatic|parametersruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|variabledeclaratordynamic|parametersruntime|defined|parameter|dictionaryidentifiername|objectcreationexpression|equalsvalueclause|variabledeclaratordynamic|parametersruntime|defined|parameter|dictionaryidentifiername|methoddeclarationmethod_nameruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_nameruntime|defined|parameter|dictionaryidentifiername|objectcreationexpression|equalsvalueclause|variabledeclarator|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_namestringpredefinedtype|parametertemplate|contentstringpredefinedtype0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|identifiernametemplate|contentstringpredefinedtype|parameter|parameterlist|parameter|identifiernamehashtablestringpredefinedtype|parameter|parameterlist|parameter|identifiernamehashtablestringpredefinedtype|parameter|parameterlist|parametertemplate|parameter|objectstringpredefinedtype|parameter|parameterlist|parametertemplate|parameter|objectstringpredefinedtype|parametertemplate|parameter|file|pathstringpredefinedtype|arraytype|parameter|parameterlist|parametertemplate|parameter|file|pathstringpredefinedtype|parameter|parameterlist|parameterstatic|parametersstringpredefinedtype|arraytype|parameterstatic|parametersstringpredefinedtype|parameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parametersstringpredefinedtype|parameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parametersstringpredefinedtype0|simplememberaccessexpression|identifiername1is|null|or|emptystringpredefinedtype|parameter|parameterlist|methoddeclarationmethod_namestringpredefinedtype|parameter|parameterlist|methoddeclarationmethod_namestringpredefinedtype|arraytype|parameter|parameterlist|methoddeclarationmethod_namestringpredefinedtype0|simplememberaccessexpression0|invocationexpression|logicalnotexpression|ifstatement|block|methoddeclarationmethod_nametemplate|contentparameter|parameterlist|parameter|identifiernamehashtabletemplate|contentparameter|parameterlist|parametertemplate|parameter|objecttemplate|contentparameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parameterstemplate|contentidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername1is|null|or|emptytemplate|contentidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|genericname1|typeargumentlist|identifiernametemplate|filetemplate|contentidentifiername|argument0|argumentlist1|invocationexpression1|simpleassignmentexpression|identifiername0template|filetemplate|contentidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername0json|converttemplate|contentidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|genericname1deserialize|objecttemplate|contentparameter|parameterlist|methoddeclarationmethod_nametemplate|contentidentifiername|argument0|argumentlist1|invocationexpression|logicalnotexpression|ifstatement|block|methoddeclarationmethod_namehashtableidentifiername|parametertemplate|parameter|objecthashtableidentifiername|parameter|parameterlist|parametertemplate|parameter|file|pathhashtableidentifiername|parameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parametershashtableidentifiername|parameter|parameterlist|methoddeclarationmethod_nametemplate|parameter|objectparameter|parameterlist|parametertemplate|parameter|file|pathtemplate|parameter|objectparameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parameterstemplate|parameter|objectparameter|parameterlist|methoddeclarationmethod_nametemplate|parameter|file|pathparameter|parameterlist|parameterstatic|parameterstemplate|parameter|file|pathparameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parameterstemplate|parameter|file|pathparameter|parameterlist|methoddeclarationmethod_namestatic|parametersparameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratordynamic|parametersstatic|parametersparameter|parameterlist|methoddeclarationmethod_namedynamic|parametersidentifiername|returnstatement|block|ifstatement|block|expressionstatement|simpleassignmentexpression|identifiername0template|filedynamic|parametersidentifiername|returnstatement|block|ifstatement|equalsexpression|simplememberaccessexpression|identifiername0template|filedynamic|parametersidentifiername|returnstatement|block|ifstatement|equalsexpression|simplememberaccessexpression|identifiername1parametersdynamic|parametersvariabledeclarator|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_nameis|null|or|emptyidentifiername1|simplememberaccessexpression0|invocationexpression|logicalnotexpression|ifstatement|block|methoddeclarationmethod_nametemplate|fileidentifiername|variabledeclaration|variabledeclaratortemplate|filetemplate|fileidentifiername|typeargumentlist|genericname1|simplememberaccessexpression0|invocationexpression1|simpleassignmentexpression|identifiername0template|filetemplate|fileidentifiername|typeargumentlist|genericname1|simplememberaccessexpression|identifiername0json|converttemplate|fileidentifiername|typeargumentlist|genericnamedeserialize|objecttemplate|fileidentifiername|variabledeclaration|localdeclarationstatement|block|ifstatement|block|methoddeclarationmethod_nametemplate|fileidentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername0json|converttemplate|fileidentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|genericname1deserialize|objecttemplate|fileidentifiername0|simpleassignmentexpression|expressionstatement|block|ifstatement|equalsexpression|simplememberaccessexpression|identifiername1parameterstemplate|fileidentifiername0|simplememberaccessexpression|identifiername1parameterstemplate|filevariabledeclarator|variabledeclaration|localdeclarationstatement|block|ifstatement|block|methoddeclarationmethod_namejson|convertidentifiername0|simplememberaccessexpression|genericname1deserialize|objectruntime|defined|parameter|dictionaryidentifiername|objectcreationexpression|equalsvalueclause|variabledeclarator|variabledeclaration|identifiernameruntime|defined|parameter|dictionaryruntime|defined|parameter|dictionaryidentifiername|variabledeclaration|variabledeclarator|equalsvalueclause|objectcreationexpression|identifiernameruntime|defined|parameter|dictionarystringpredefinedtype|arraytype|parameter|parameterlist|parameter|predefinedtypestringstringpredefinedtype|parameter|parameterlist|parameter|arraytype|predefinedtypestringtemplate|fileidentifiername0|simplememberaccessexpression|equalsexpression|ifstatement|block|expressionstatement|simpleassignmentexpression|identifiername0template|filetemplate|fileidentifiername0|simpleassignmentexpression|expressionstatement|block|ifstatement|equalsexpression|simplememberaccessexpression|identifiername0template|filecant|parse|the|template|fileccommentcant|parse|the|template|filecdo|not|generate|dynamic|parameterscommentdo|not|generate|dynamic|parameters<em> ,markjbrown,network| service attention,3/7/2015
2494,azure-powershellWebScrap,843,new azuresqldatabaseserv cmdlet support servernam paramet new preview portal final specifi friendli sql server name great still cant powershel mani sql server manag creat ui option would great see servernam paramet ad tfsbridg tfsid,,akromm,sql| service attention,3/9/2015
1275,azure-powershellWebScrap,1407,add azurermvmdatadisk requir disk size argument attach exist disk im tri attach exist disk virtual machin add azurermvmdatadisk command alway requir data size argument datasizeingb requir attach exist disk take lot effort retriev storag size calcul thank tfsbridg tfsid,,huangpf,compute| service attention,4/12/2015
365,azure-powershellWebScrap,236,set azureresourc error unsupportedrequestcont request content well form support tri call set azureresourc chang enabl properti microsoft insight autoscaleset resourc get error set azureresourc unsupportedrequestcont request content well form support imag here code im tri usehow success use set azureresourc chang properti azur resourc azur resourc manag rest api cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,ravbhatnagar,arm| doc - internal| service attention,5/3/2015
363,azure-powershellWebScrap,230,get azureresourc doesnt return resourc base tag azur resourc manag modul version use get azureresourc command tag paramet azur resourc return even though resourc tag one specifi see azur preview portal creat azur websit ad tag name trevor imag cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,ravbhatnagar,arm| service attention,5/3/2015
1174,azure-powershellWebScrap,864,arm powershel backup restor azur sql databas powershel command backup restor azur sql databas imag cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,akromm,sql| service attention,5/9/2015
1283,azure-powershellWebScrap,1420,unhelp help locknot paramet new azurermresourcelock noth indic constraint valu locknot support special charact long string read updat lock note imag cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,ravbhatnagar,arm| doc - internal| service attention,5/12/2015
