,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
4579,aspnetcoreWebScrap,135,miss link alpha relea url shown alpha relea websocketabstract point exist,,unknown,bug,2014-01-09
5205,aspnetcoreWebScrap,5855,expo httprequestinfotypesslprotocol http request prequestinfo point array http request info request one new item httprequestinfotypesslprotocol pinfo field http ssl protocol info structur outlin havent found constant definit yet interpret data though,,tratcher,done| area-servers| cost s| enhancement| servers-httpsys,2014-01-12
5551,aspnetcoreWebScrap,156,bundl minif workflow follow im wonder bundl minif go perform go handl grunt doesnt make much sen bundl minif visual studio ide prevent edit script file outsid ide bundl wont get updat automat fli compil roslyn edit save net sourc file without need rebuild lose abil css js file seem backward hand go outsid ide mean everi project need run node js grunt instal abl use bundl minif mayb grunt go includ part bundl minif nuget packag,,unknown,discussion,2014-05-10
2469,aspnetcoreWebScrap,37,run sampl mac hellowil instruct run sampl mac relea point abl notic fowler scott use custom version nowin go provid exampl regard,,unknown,done| question,2014-05-19
6238,aspnetcoreWebScrap,98,helio owin environ dictionari enum use helio owin middlewar enum linq owin environ eg env first result except messag api call request serv http got around access item via index specif key use containskey seem bit odd get ssl messag tri enum also mean cant log item owin dictionaryupd im refer packag id microsoft owin host ii version alpha targetframework net,,grabyourpitchforks,unknown,2014-07-14
5333,aspnetcoreWebScrap,95,helio use configsourc connectionstr web config someth likeit fail use helio host,,grabyourpitchforks,unknown,2014-09-07
5905,aspnetcoreWebScrap,228,readm relea branch point master kvm instal readm md kvm instal ps custom branch point differ feed howev instal command relea branch readm point master branch copi ps point master feed chang powershel noprofil executionpolici unrestrict command iex new object net webclient downloadstr powershel noprofil executionpolici unrestrict command iex new object net webclient downloadstr,,unknown,done| bug,2014-09-12
158,aspnetcoreWebScrap,145,updat readm mac os alpha instruct updat instruct uninst old kvm updat brew script instal new one,,suhasj,done,2014-09-17
5155,aspnetcoreWebScrap,4973,allow tag helper specifi string properti fact type name refer gener code use nameof keyword let assum introduc new tag helper properti attribut typenamestringattribut instruct parser gener code use nameof keyword default stack suppli name anoth properti tag helper automat concaten gener time type name add default wrapper separ etc usual use would escap behavior anchor tag helper declar control action properti type attribut color imag show project imag,,unknown,area-mvc| enhancement| feature| feature-razor-pages,2014-10-20
277,aspnetcoreWebScrap,166,segment fault sourc kvm sh osx possibl zsh osx zsh,,unknown,done,2014-10-23
